Mo,W,S,Se,Te,bandgap
0.0,25.0,5.0,20.0,25.0,1.2393
0.0,25.0,5.0,25.0,20.0,1.2878
0.0,25.0,5.0,30.0,15.0,1.3656
0.0,25.0,5.0,35.0,10.0,1.4232
0.0,25.0,5.0,40.0,5.0,1.4899
0.0,25.0,10.0,5.0,35.0,1.1504
0.0,25.0,10.0,10.0,30.0,1.2077
0.0,25.0,10.0,15.0,25.0,1.2466
0.0,25.0,10.0,20.0,20.0,1.3066
0.0,25.0,10.0,25.0,15.0,1.3702
0.0,25.0,10.0,30.0,10.0,1.4292
0.0,25.0,10.0,35.0,5.0,1.5071
0.0,25.0,15.0,5.0,30.0,1.2085
0.0,25.0,15.0,10.0,25.0,1.2291
0.0,25.0,15.0,15.0,20.0,1.3271
0.0,25.0,15.0,20.0,15.0,1.3669
0.0,25.0,15.0,25.0,10.0,1.4484
0.0,25.0,15.0,30.0,5.0,1.5181
0.0,25.0,20.0,5.0,25.0,1.2628
0.0,25.0,20.0,10.0,20.0,1.3442
0.0,25.0,20.0,15.0,15.0,1.3946
0.0,25.0,20.0,20.0,10.0,1.4567
0.0,25.0,20.0,25.0,5.0,1.5303
0.0,25.0,25.0,5.0,20.0,1.3352
0.0,25.0,25.0,10.0,15.0,1.3924
0.0,25.0,25.0,15.0,10.0,1.4757
0.0,25.0,25.0,20.0,5.0,1.5624
0.0,25.0,30.0,5.0,15.0,1.4202
0.0,25.0,30.0,10.0,10.0,1.4953
0.0,25.0,30.0,15.0,5.0,1.5663
0.0,25.0,35.0,5.0,10.0,1.5236
0.0,25.0,35.0,10.0,5.0,1.6071
0.0,25.0,40.0,5.0,5.0,1.6363
5.0,20.0,5.0,45.0,0.0,1.5104
5.0,20.0,10.0,40.0,0.0,1.5353
5.0,20.0,15.0,35.0,0.0,1.5578
5.0,20.0,20.0,30.0,0.0,1.585
5.0,20.0,25.0,25.0,0.0,1.5991
5.0,20.0,30.0,20.0,0.0,1.6252
5.0,20.0,35.0,15.0,0.0,1.6545
5.0,20.0,40.0,10.0,0.0,1.6776
5.0,20.0,45.0,5.0,0.0,1.7202
10.0,15.0,5.0,45.0,0.0,1.4963
10.0,15.0,10.0,40.0,0.0,1.5006
10.0,15.0,15.0,35.0,0.0,1.5263
10.0,15.0,20.0,30.0,0.0,1.5385
10.0,15.0,25.0,25.0,0.0,1.5743
10.0,15.0,30.0,20.0,0.0,1.5998
10.0,15.0,35.0,15.0,0.0,1.631
10.0,15.0,40.0,10.0,0.0,1.6626
10.0,15.0,45.0,5.0,0.0,1.6897
15.0,10.0,5.0,45.0,0.0,1.4726
15.0,10.0,10.0,40.0,0.0,1.4922
15.0,10.0,15.0,35.0,0.0,1.5073
15.0,10.0,20.0,30.0,0.0,1.5299
15.0,10.0,25.0,25.0,0.0,1.5531
15.0,10.0,30.0,20.0,0.0,1.5798
15.0,10.0,35.0,15.0,0.0,1.6026
15.0,10.0,40.0,10.0,0.0,1.6363
15.0,10.0,45.0,5.0,0.0,1.6713
20.0,5.0,5.0,45.0,0.0,1.4644
20.0,5.0,10.0,40.0,0.0,1.4756
20.0,5.0,15.0,35.0,0.0,1.4939
20.0,5.0,20.0,30.0,0.0,1.512
20.0,5.0,25.0,25.0,0.0,1.5362
20.0,5.0,30.0,20.0,0.0,1.5653
20.0,5.0,35.0,15.0,0.0,1.5928
20.0,5.0,40.0,10.0,0.0,1.6255
20.0,5.0,45.0,5.0,0.0,1.6506
5.0,20.0,5.0,0.0,45.0,1.0709
5.0,20.0,10.0,0.0,40.0,1.1053
5.0,20.0,15.0,0.0,35.0,1.1475
5.0,20.0,20.0,0.0,30.0,1.2033
5.0,20.0,25.0,0.0,25.0,1.2438
5.0,20.0,30.0,0.0,20.0,1.3029
5.0,20.0,35.0,0.0,15.0,1.3975
5.0,20.0,40.0,0.0,10.0,1.4715
5.0,20.0,45.0,0.0,5.0,1.6144
10.0,15.0,5.0,0.0,45.0,1.0848
10.0,15.0,10.0,0.0,40.0,1.0891
10.0,15.0,15.0,0.0,35.0,1.1117
10.0,15.0,20.0,0.0,30.0,1.1462
10.0,15.0,25.0,0.0,25.0,1.2309
10.0,15.0,30.0,0.0,20.0,1.3196
10.0,15.0,35.0,0.0,15.0,1.3935
10.0,15.0,40.0,0.0,10.0,1.4834
10.0,15.0,45.0,0.0,5.0,1.5955
15.0,10.0,5.0,0.0,45.0,1.0784
15.0,10.0,10.0,0.0,40.0,1.0902
15.0,10.0,15.0,0.0,35.0,1.0945
15.0,10.0,20.0,0.0,30.0,1.1535
15.0,10.0,25.0,0.0,25.0,1.2288
15.0,10.0,30.0,0.0,20.0,1.2902
15.0,10.0,35.0,0.0,15.0,1.3598
15.0,10.0,40.0,0.0,10.0,1.4403
15.0,10.0,45.0,0.0,5.0,1.5657
20.0,5.0,5.0,0.0,45.0,1.0823
20.0,5.0,10.0,0.0,40.0,1.0931
20.0,5.0,15.0,0.0,35.0,1.1123
20.0,5.0,20.0,0.0,30.0,1.1565
20.0,5.0,25.0,0.0,25.0,1.1959
20.0,5.0,30.0,0.0,20.0,1.2640
20.0,5.0,35.0,0.0,15.0,1.3337
20.0,5.0,40.0,0.0,10.0,1.4288
20.0,5.0,45.0,0.0,5.0,1.5330
5.0,20.0,0.0,5.0,45.0,1.0839
5.0,20.0,0.0,10.0,40.0,1.1172
5.0,20.0,0.0,15.0,35.0,1.1542
5.0,20.0,0.0,20.0,30.0,1.1959
5.0,20.0,0.0,25.0,25.0,1.2270
5.0,20.0,0.0,30.0,20.0,1.2680
5.0,20.0,0.0,35.0,15.0,1.3225
5.0,20.0,0.0,40.0,10.0,1.3620
5.0,20.0,0.0,45.0,5.0,1.4352
10.0,15.0,0.0,5.0,45.0,1.0913
10.0,15.0,0.0,10.0,40.0,1.1043
10.0,15.0,0.0,15.0,35.0,1.1367
